index,CUSIP,Ticker,SecurityName,Shares2023_06_30,Shares2023_09_30,DeltaAbsolute,DeltaRelative
2233,25460G328,DRIP,DIREXION DAILY S&P OIL & GAS,2056104,5536272,3480168,169.26030978977718
7097,74933W452,TBIL,US TREASURY 3 MONTH BILL ETF,12672981,33113379,20440398,161.29115951487657
8261,88634T519,FCUS,PINNACLE FOCUSED OPPORT ETF,732582,1912698,1180116,161.08995307010002
2416,26923G798,VPC,VIRTUS PRIVATE CREDIT STRATE,1013319,2555868,1542549,152.22738347943738
2236,25460G500,GUSH,DIREXION DAILY S&P OIL & GAS,3286077,8251392,4965315,151.10160230572808
2375,26922A321,DSTL,DISTILLATE US FUNDAMENTAL ST,14564781,36292701,21727920,149.18123382699676
373,02072L201,IVAL,ALPHA ARCHI INTL QT VLU ETF,843630,2079021,1235391,146.43753778315138
7587,808515621,SNOXX,SCHWAB TRSRY OBL MNY-INV,3030468,7342839,4312371,142.30049616098898
4448,46137V605,DJD,INVESCO DOW JONES INDUSTRIAL,2308104,5580021,3271917,141.75778041197452
4480,46138E115,PSCT,INVESCO S&P SMALLCAP INFORMA,1513530,3581796,2068266,136.65180075717032
8142,878739200,TPCS,TECHPRECISION CORP,1630782,3833664,2202882,135.0813290801591
4429,46137V373,RSPS,INVESCO S&P 500 EQUAL WEIGHT,6782316,15916446,9134130,134.6756771580681
1202,09789C507,XHYT,BONDBLOXX USD HY BOND TMT,901953,2103720,1201767,133.24053470635388
8466,90214Q584,CGV,CONDUCTOR GLOBAL EQ VAL ETF,5712390,13203165,7490775,131.13206556275043
3089,33738R712,DALI,FIRST TRUST DORSEYWRIGHT DAL,966057,2205687,1239630,128.31851536710565
